Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 329.02, San Francisco County, California",1400000US06075032902,3782,448,994,387,0,95,26,35,2712,576,0,95,0,95,50,52,0,95,50,52
"Census Tract 330, San Francisco County, California",1400000US06075033000,7977,619,3617,421,127,115,19,31,3694,531,26,86,212,221,282,171,18,30,264,161
"Census Tract 331, San Francisco County, California",1400000US06075033100,4113,387,1717,275,0,95,0,95,2308,410,0,95,31,48,57,54,0,95,57,54
"Census Tract 332.01, San Francisco County, California",1400000US06075033201,3727,830,2109,637,381,239,13,21,640,229,0,95,378,263,206,145,18,33,188,129
"Census Tract 332.03, San Francisco County, California",1400000US06075033203,3332,440,1538,337,88,86,0,95,1287,284,73,94,220,190,126,124,0,95,126,124
"Census Tract 332.04, San Francisco County, California",1400000US06075033204,3538,449,1640,367,330,173,50,88,1121,435,0,95,205,177,192,140,6,15,186,140
"Census Tract 351, San Francisco County, California",1400000US06075035100,7897,616,2499,338,21,33,0,95,4891,644,0,95,75,69,411,206,15,25,396,205
"Census Tract 352.01, San Francisco County, California",1400000US06075035201,5117,406,1959,351,10,26,8,15,2845,380,128,121,2,4,165,89,33,31,132,76
"Census Tract 352.02, San Francisco County, California",1400000US06075035202,4608,335,2364,275,57,42,9,16,1888,259,75,67,108,100,107,80,0,95,107,80
"Census Tract 353, San Francisco County, California",1400000US06075035300,7466,555,2239,358,0,95,0,95,4832,628,0,95,134,133,261,177,0,95,261,177
"Census Tract 354, San Francisco County, California",1400000US06075035400,6413,647,2922,507,92,83,0,95,2810,545,169,219,102,84,318,190,143,106,175,124
