,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,name,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households
2343,06,075,010700,1400000US06075010700,06075010700,107,CT,183170,0,"POLYGON ((-122.412908 37.802184, -122.411376 37.801125, -122.409014 37.79949, -122.407869 37.798697, -122.407083 37.798152, -122.406668 37.797865, -122.405513 37.797065, -122.408431 37.796704, -122.411719 37.796291, -122.411911 37.797245, -122.412283 37.799096, -122.412471 37.800032, -122.412849 37.801893, -122.412908 37.802184))",107a,25502
2763,06,075,015801,1400000US06075015801,06075015801,158.01,CT,343931,0,"POLYGON ((-122.44281 37.782971, -122.438901 37.78344999999999, -122.437863 37.783791, -122.434562 37.784152, -122.433973 37.781219, -122.433596 37.779355, -122.433407 37.778422, -122.436697 37.778006, -122.437072 37.779867, -122.440958 37.779364, -122.441512 37.782096, -122.442793 37.782885, -122.44281 37.782971))",158.01a,76689
2764,06,075,016100,1400000US06075016100,06075016100,161,CT,368899,0,"POLYGON ((-122.433973 37.781219, -122.430696 37.781635, -122.427396 37.782057, -122.424108 37.782477, -122.423541 37.779674, -122.423354 37.778747, -122.424998 37.778538, -122.426641 37.778329, -122.429929 37.777909, -122.433219 37.77749, -122.433407 37.778422, -122.433596 37.779355, -122.433973 37.781219))",161a,22500
2765,06,075,016200,1400000US06075016200,06075016200,162,CT,273256,0,"POLYGON ((-122.426641 37.778329, -122.424998 37.778538, -122.423354 37.778747, -122.423541 37.779674, -122.420358 37.780072, -122.419765 37.777291, -122.419359 37.775432, -122.424246 37.774811, -122.425888 37.77459899999999, -122.426263 37.776464, -122.426641 37.778329))",162a,106313
2766,06,075,017000,1400000US06075017000,06075017000,170,CT,469547,0,"POLYGON ((-122.446247 37.762247, -122.443538 37.765323, -122.443347 37.765333, -122.442575 37.765928, -122.442009 37.765907, -122.439301 37.768166, -122.438338 37.76900699999999, -122.436588 37.769001, -122.435794 37.769058, -122.435472 37.765727, -122.435193 37.762727, -122.435837 37.762485, -122.439491 37.762227, -122.440168 37.762187, -122.444196 37.761947, -122.446384 37.761816, -122.446247 37.762247))",170a,185435
2767,06,075,017902,1400000US06075017902,06075017902,179.02,CT,2705146,123857178,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))",179.02a,59063
2768,06,075,020401,1400000US06075020401,06075020401,204.01,CT,327217,0,"POLYGON ((-122.447915 37.757589, -122.446395 37.758856, -122.446394 37.760907, -122.446783 37.761781, -122.446384 37.761816, -122.444196 37.761947, -122.440168 37.762187, -122.439491 37.762227, -122.439337 37.760627, -122.439167 37.759028, -122.442175 37.758939, -122.442258 37.757734, -122.44222 37.756639, -122.445106 37.756961, -122.444485 37.756354, -122.445283 37.756573, -122.44695 37.75655, -122.447915 37.757589))",204.01a,159412
2806,06,075,021600,1400000US06075021600,06075021600,216,CT,597916,0,"POLYGON ((-122.447399 37.746596, -122.444857 37.747025, -122.444556 37.746687, -122.443961 37.746765, -122.441408 37.74861, -122.438246 37.748665, -122.43809 37.74705, -122.435916 37.747179, -122.433697 37.747297, -122.431477 37.747434, -122.431256 37.74503199999999, -122.431022 37.742631, -122.430888 37.741833, -122.433259 37.741903, -122.43332 37.743296, -122.435559 37.743161, -122.43556 37.74155, -122.440049 37.745299, -122.444148 37.743297, -122.445214 37.743688, -122.447399 37.746596))",216a,143929
2811,06,075,030101,1400000US06075030101,06075030101,301.01,CT,346434,0,"POLYGON ((-122.464297 37.765963, -122.46109 37.766132, -122.458405 37.76616, -122.45779 37.766015, -122.456913 37.765874, -122.452947 37.766374, -122.452758 37.765443, -122.452569 37.764509, -122.455466 37.764161, -122.457536 37.763566, -122.460843 37.762628, -122.462972 37.762316, -122.463226 37.758562, -122.463782 37.758538, -122.463912 37.760405, -122.464042 37.762269, -122.464172 37.764131, -122.464297 37.765963))",301.01a,122264
2812,06,075,030302,1400000US06075030302,06075030302,303.02,CT,597811,0,"POLYGON ((-122.4766 37.756108, -122.473683 37.756237, -122.47121 37.755194, -122.470908 37.752616, -122.47068 37.752376, -122.469782 37.752675, -122.468335 37.753244, -122.4666 37.752803, -122.464462 37.752899, -122.463442 37.751195, -122.464186 37.750717, -122.465403 37.750986, -122.466469 37.750939, -122.466336 37.749075, -122.469549 37.748903, -122.470595 37.748869, -122.476131 37.748643, -122.476221 37.750509, -122.476355 37.752376, -122.4766 37.756108))",303.02a,138125
2813,06,075,030600,1400000US06075030600,06075030600,306,CT,521626,0,"POLYGON ((-122.461381 37.745569, -122.459174 37.747286, -122.458743 37.746876, -122.454637 37.746142, -122.454275 37.745908, -122.453897 37.745742, -122.451692 37.745629, -122.449861 37.743265, -122.452306 37.742819, -122.453773 37.743219, -122.454238 37.742835, -122.45464 37.742326, -122.454932 37.741777, -122.458082 37.739099, -122.458849 37.739158, -122.459184 37.739871, -122.459386 37.740571, -122.45984 37.74106099999999, -122.461234 37.742584, -122.463686 37.743749, -122.461381 37.745569))",306a,172500
