,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
639,"Census Tract 329.02, San Francisco County, California",89893,104722,-,-,94861,-,-,-,157625,94464,-,159625,110150,41484,2013,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
640,"Census Tract 329.02, San Francisco County, California",89063,106667,-,-,85208,-,-,-,106500,107143,-,136711,99375,53750,2014,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
641,"Census Tract 329.02, San Francisco County, California",77037,73889,-,-,91417,-,-,-,-,73611,-,99474,84643,36731,2010,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
642,"Census Tract 329.02, San Francisco County, California",97929,97857,-,-,100000,-,-,-,-,81161,-,102431,101950,40862,2011,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
643,"Census Tract 329.02, San Francisco County, California",95435,91250,-,-,97174,-,-,-,100673,90156,-,158177,97228,44196,2012,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
644,"Census Tract 329.02, San Francisco County, California",89568,126250,-,-,85395,-,-,87870,(X),123750,-,135938,105294,59625,2015,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
645,"Census Tract 329.02, San Francisco County, California",96208,126964,-,-,92500,-,-,90172,152188,125357,-,130781,106080,59167,2016,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
646,"Census Tract 329.02, San Francisco County, California",93613,109531,-,-,88667,-,-,92841,168393,96667,-,122917,109821,55404,2017,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
647,"Census Tract 329.02, San Francisco County, California",94545,98594,-,-,89432,-,-,-,-,98516,-,122054,111705,56667,2018,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
648,"Census Tract 332.01, San Francisco County, California",26771,43021,21467,-,20511,-,"2,500-",38375,8846,45714,18015,20852,71635,30521,2013,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
649,"Census Tract 332.01, San Francisco County, California",24338,38000,26458,-,21316,-,"2,500-",40114,8929,43229,9050,21844,72955,26875,2014,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
650,"Census Tract 332.01, San Francisco County, California",41250,42426,9471,-,56300,-,71944,11683,70278,42426,17609,63698,77961,19841,2010,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
651,"Census Tract 332.01, San Francisco County, California",37083,41528,17813,-,56339,-,"250,000+",38500,9135,41528,18550,66750,85234,26359,2011,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
652,"Census Tract 332.01, San Francisco County, California",29531,43500,9669,-,19957,-,"2,500-",23750,10500,45341,9617,31042,87750,27200,2012,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
653,"Census Tract 332.01, San Francisco County, California",22250,31806,38281,-,20938,-,"2,500-",(X),(X),39000,(X),(X),(X),(X),2015,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
654,"Census Tract 332.01, San Francisco County, California",22895,30700,47969,-,22537,-,-,-,12857,31364,-,34615,30625,24375,2016,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
655,"Census Tract 332.01, San Francisco County, California",28750,32829,50313,-,26250,-,-,-,-,33355,-,51964,30917,26875,2017,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
656,"Census Tract 332.01, San Francisco County, California",34706,34706,38438,-,36184,-,-,-,30333,34926,25521,57292,45000,21938,2018,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
657,"Census Tract 332.03, San Francisco County, California",67647,68359,70391,-,51875,-,83510,61134,63750,69479,30000,85877,71367,29738,2013,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
658,"Census Tract 332.03, San Francisco County, California",63143,62292,66316,-,51184,-,82955,60871,63643,62083,20500,74635,69318,31484,2014,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
659,"Census Tract 332.03, San Francisco County, California",59875,62553,18315,-,62292,-,65890,56695,64309,62652,56441,68750,95000,26711,2010,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
660,"Census Tract 332.03, San Francisco County, California",66277,67075,17102,-,66429,-,69006,58648,67841,72171,58393,81105,94688,27132,2011,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
661,"Census Tract 332.03, San Francisco County, California",61818,67841,17237,-,56917,-,80787,59489,49861,70391,37574,81250,80893,27353,2012,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
662,"Census Tract 332.03, San Francisco County, California",67713,59940,71023,-,(X),-,83085,57500,75278,61429,(X),(X),(X),(X),2015,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
663,"Census Tract 332.03, San Francisco County, California",50946,50270,74023,-,33289,-,86524,66354,79698,47125,-,47768,73398,28125,2016,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
664,"Census Tract 332.03, San Francisco County, California",50360,51382,74071,-,35707,-,77716,-,66125,51375,-,43750,73137,34821,2017,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
665,"Census Tract 332.03, San Francisco County, California",47188,57939,77955,-,41136,-,45625,68125,52375,58345,42683,50125,59957,42656,2018,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
666,"Census Tract 332.04, San Francisco County, California",48313,51250,13784,-,58235,-,14934,87692,27500,52557,12902,80433,83429,27326,2013,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
667,"Census Tract 332.04, San Francisco County, California",35724,37171,21932,-,26813,-,19485,81625,31518,36776,6829,93875,69259,25709,2014,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
668,"Census Tract 332.04, San Francisco County, California",46190,46415,50147,-,47177,-,17361,"2,500-",27083,46038,31442,50572,79883,30481,2010,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
669,"Census Tract 332.04, San Francisco County, California",41031,47849,14474,-,46023,-,7389,4950,25066,48634,26776,40219,82457,29470,2011,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
670,"Census Tract 332.04, San Francisco County, California",41813,49167,14974,-,27029,-,13750,77857,25735,48712,14859,60083,77857,28144,2012,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
671,"Census Tract 332.04, San Francisco County, California",43412,44899,(X),-,48672,-,17647,81944,(X),44764,(X),(X),(X),(X),2015,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
672,"Census Tract 332.04, San Francisco County, California",44922,52679,55139,-,40724,-,-,-,61500,41544,-,94569,68750,29260,2016,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
673,"Census Tract 332.04, San Francisco County, California",59125,60298,64500,-,63047,-,43214,-,42798,60282,-,86042,72500,27059,2017,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
674,"Census Tract 332.04, San Francisco County, California",62701,63953,-,-,44028,-,37043,-,36768,64764,-,79444,74583,26711,2018,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
675,"Census Tract 352.01, San Francisco County, California",66875,59679,-,-,69063,-,-,58571,47120,62885,62885,71510,76741,49063,2013,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
676,"Census Tract 352.01, San Francisco County, California",76059,72277,-,-,76944,-,-,58214,58036,77774,64013,101250,80278,38571,2014,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
677,"Census Tract 352.01, San Francisco County, California",62350,65826,-,-,61364,180125,-,49306,66149,65284,-,68269,60944,46477,2010,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
678,"Census Tract 352.01, San Francisco County, California",66298,59886,-,-,69911,185179,-,51750,64659,59167,51983,76300,67596,51813,2011,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
679,"Census Tract 352.01, San Francisco County, California",64770,58542,-,-,67896,190417,-,57321,63214,57969,34722,68269,76375,45625,2012,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
680,"Census Tract 352.01, San Francisco County, California",77850,75948,-,-,81838,-,-,77222,(X),77813,64107,87847,89426,44531,2015,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
681,"Census Tract 352.01, San Francisco County, California",84817,89792,-,-,84688,-,-,-,-,100139,64271,106914,100033,43875,2016,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
682,"Census Tract 352.01, San Francisco County, California",92719,103631,-,-,83478,-,-,-,-,104196,93056,109485,104306,55682,2017,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
683,"Census Tract 352.01, San Francisco County, California",102652,112135,-,-,88750,-,-,-,126023,111719,-,121250,114000,70375,2018,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
684,"Census Tract 352.02, San Francisco County, California",71912,85120,43889,-,67019,-,69805,62679,68945,85192,25000,86707,66154,33438,2013,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
685,"Census Tract 352.02, San Francisco County, California",72047,78984,-,-,73542,-,71515,63594,54583,84265,23125,88526,67500,34519,2014,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
686,"Census Tract 352.02, San Francisco County, California",66958,66144,42188,-,72903,-,-,52946,32250,67287,32772,79318,66573,32227,2010,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
687,"Census Tract 352.02, San Francisco County, California",68073,65938,41364,-,69922,-,104375,60536,55833,73125,29750,83229,69063,32708,2011,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
688,"Census Tract 352.02, San Francisco County, California",67529,66736,43077,-,64554,-,69821,62969,91447,65868,29583,77106,72396,32337,2012,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
689,"Census Tract 352.02, San Francisco County, California",70058,79844,-,-,62101,-,70650,98295,46912,87241,(X),(X),(X),(X),2015,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
690,"Census Tract 352.02, San Francisco County, California",78542,87839,-,-,71016,-,-,99028,-,88854,-,96544,66656,41528,2016,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
691,"Census Tract 352.02, San Francisco County, California",83977,85484,-,-,88047,-,118409,-,67727,88750,-,98615,69566,49224,2017,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
692,"Census Tract 352.02, San Francisco County, California",82593,77837,45833,-,89345,-,86875,63182,85559,79554,-,101806,70799,55278,2018,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
693,"Census Tract 426.01, San Francisco County, California",56949,56156,-,-,77891,-,-,51696,28304,57250,26250,64583,75333,42679,2013,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
694,"Census Tract 426.01, San Francisco County, California",54353,57122,11354,-,46131,-,-,-,28141,60375,31042,57262,60982,41458,2014,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
695,"Census Tract 426.01, San Francisco County, California",65107,65679,62798,-,77625,-,-,49886,182529,60833,-,83667,92885,23319,2010,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
696,"Census Tract 426.01, San Francisco County, California",76469,68199,-,-,107574,-,-,51417,130750,63355,-,82316,101786,22298,2011,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
697,"Census Tract 426.01, San Francisco County, California",63011,64602,-,-,71833,-,29188,51442,33625,64091,28043,62679,99107,31518,2012,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
