,Total  Estimate  Population 25 years and over,Total  Estimate  Less than 9th grade,"Total  Estimate  9th to 12th grade, no diploma",Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  Some college or associate's degree,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,"Total  Estimate  Some college, no degree",Total  Estimate  Associate's degree,Total  Estimate  Bachelor's degree,Total  Estimate  Graduate or professional degree,Total  Estimate  Percent high school graduate or higher,Total  Estimate  Percent bachelor's degree or higher,Name,tract
44,4556,1.2,3,9.9,7.4,9.9,7.4,12.5,77.6,90.8,93,65.4,44,77.6,90.8,93,65.4,44,77.6,90.8,93,65.4,44,77.6,90.8,93,65.4,44,77.6,90.8,93,65.4,44,9.2,5.6,46,27.6,95.8,73.6,"Census Tract 154, San Francisco County, California",154.0
45,3522,10.2,10.8,6.7,14.7,6.7,14.7,12.3,57.7,66,67.5,33.1,36.9,57.7,66,67.5,33.1,36.9,57.7,66,67.5,33.1,36.9,57.7,66,67.5,33.1,36.9,57.7,66,67.5,33.1,36.9,12.8,3.2,26,22.4,79,48.4,"Census Tract 155, San Francisco County, California",155.0
46,1821,3,1,1.8,7.7,1.8,7.7,15.3,82.9,80.3,79.2,54.5,20.7,82.9,80.3,79.2,54.5,20.7,82.9,80.3,79.2,54.5,20.7,82.9,80.3,79.2,54.5,20.7,82.9,80.3,79.2,54.5,20.7,13.1,12.9,38.1,24.2,96,62.3,"Census Tract 156, San Francisco County, California",156.0
47,4391,2,4,24.5,10.6,24.5,10.6,64.6,7.4,64.9,76.9,56.5,55.3,7.4,64.9,76.9,56.5,55.3,7.4,64.9,76.9,56.5,55.3,7.4,64.9,76.9,56.5,55.3,7.4,64.9,76.9,56.5,55.3,13.3,5.9,34.4,29.9,94,64.3,"Census Tract 157, San Francisco County, California",157.0
48,2573,2.1,1.9,13.9,13.3,13.9,13.3,32.7,41.2,67.9,75.3,38.9,53.7,41.2,67.9,75.3,38.9,53.7,41.2,67.9,75.3,38.9,53.7,41.2,67.9,75.3,38.9,53.7,41.2,67.9,75.3,38.9,53.7,20.5,4.2,38.1,20,96,58.1,"Census Tract 158.01, San Francisco County, California",158.01
49,2288,3.1,2.1,27,6.2,27,6.2,31.4,22.6,79.3,57.3,49.4,34.6,22.6,79.3,57.3,49.4,34.6,22.6,79.3,57.3,49.4,34.6,22.6,79.3,57.3,49.4,34.6,22.6,79.3,57.3,49.4,34.6,23.6,4.9,34.4,25.7,94.8,60.1,"Census Tract 158.02, San Francisco County, California",158.02
50,3090,6.6,4.9,12.9,12.1,12.9,12.1,46.3,35.8,62.8,56.3,49,50.8,35.8,62.8,56.3,49,50.8,35.8,62.8,56.3,49,50.8,35.8,62.8,56.3,49,50.8,35.8,62.8,56.3,49,50.8,15.6,6.3,25.1,29.3,88.5,54.4,"Census Tract 159, San Francisco County, California",159.0
51,1949,2.4,5.7,3.2,10.1,3.2,10.1,40.6,42.9,76,55.5,55.9,33,42.9,76,55.5,55.9,33,42.9,76,55.5,55.9,33,42.9,76,55.5,55.9,33,42.9,76,55.5,55.9,33,18.7,7.2,35,20.8,91.8,55.9,"Census Tract 160, San Francisco County, California",160.0
52,3784,10.1,7.2,20.2,23.4,20.2,23.4,20.6,53.6,47.9,74.5,18.9,33,53.6,47.9,74.5,18.9,33,53.6,47.9,74.5,18.9,33,53.6,47.9,74.5,18.9,33,53.6,47.9,74.5,18.9,33,14.3,7.5,23.3,14.1,82.7,37.4,"Census Tract 161, San Francisco County, California",161.0
53,1970,2.4,3,0,6.5,0,6.5,38.3,52,76.4,77.3,45,21.7,52,76.4,77.3,45,21.7,52,76.4,77.3,45,21.7,52,76.4,77.3,45,21.7,52,76.4,77.3,45,21.7,17,7.4,44.6,19.1,94.6,63.7,"Census Tract 162, San Francisco County, California",162.0
