name,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,12/31/18,percent change (2010-2018),geometry
614,747009,741205,834335,987125,1068217,1229783,1241419,1322083,1513328,102.58497554915671,"POLYGON ((-122.403784 37.749433, -122.403007 37.752446, -122.403127 37.754478, -122.403396 37.756471, -122.403689 37.757015, -122.39797 37.757359, -122.398216 37.759909, -122.392494 37.760245, -122.392447 37.756436, -122.391232 37.752657, -122.390683 37.752663, -122.394587 37.752427, -122.396408 37.751179, -122.402605 37.750558, -122.403569 37.749475, -122.403784 37.749433))"
226,747009,741205,834335,987125,1068217,1229783,1241419,1322083,1513328,102.58497554915671,"POLYGON ((-122.393968 37.766614, -122.388164 37.766958, -122.387917 37.764379, -122.385823 37.767255, -122.380462169293 37.7675163525902, -122.379568 37.76054999999999, -122.380757 37.755288, -122.378560351096 37.7535517721854, -122.380985 37.753228, -122.381711 37.753186, -122.390683 37.752663, -122.391232 37.752657, -122.392447 37.756436, -122.392494 37.760245, -122.392319 37.76106, -122.39252 37.762819, -122.392714 37.764084, -122.393848 37.765307, -122.393968 37.766614))"
233,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.402105 37.72779, -122.399867 37.730292, -122.396409 37.72980099999999, -122.392699 37.729284, -122.393284 37.727764, -122.396682 37.720266, -122.397025 37.719515, -122.398515 37.717664, -122.398863 37.718683, -122.400785 37.723616, -122.401183 37.724588, -122.402105 37.72779))"
234,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.396682 37.720266, -122.393284 37.727764, -122.389801 37.725791, -122.38793 37.724729, -122.38521 37.723088, -122.384517 37.722862, -122.38282 37.721872, -122.386265 37.717179, -122.38685 37.717509, -122.388131 37.71629799999999, -122.391141 37.71803999999999, -122.393545 37.718487, -122.396682 37.720266))"
230.03,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
230.01,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
610,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.405582 37.708231, -122.404821 37.709747, -122.404348 37.710443, -122.403109 37.711998, -122.402546 37.712266, -122.400626 37.712984, -122.398328 37.716259, -122.398515 37.717664, -122.397025 37.719515, -122.396682 37.720266, -122.393545 37.718487, -122.391141 37.71803999999999, -122.388131 37.71629799999999, -122.38685 37.717509, -122.386265 37.717179, -122.38282 37.721872, -122.383251 37.720151, -122.374980911262 37.71555763121989, -122.377251 37.714557, -122.379568 37.711491, -122.37529 37.708482, -122.390674 37.70864, -122.39137503156 37.708331, -122.393635 37.708244, -122.395107 37.708339, -122.404682 37.708331, -122.405292 37.708262, -122.405582 37.708231))"
9809,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.406952 37.740495, -122.40459 37.744126, -122.403561 37.747762, -122.403569 37.749475, -122.402605 37.750558, -122.396408 37.751179, -122.394587 37.752427, -122.390683 37.752663, -122.381711 37.753186, -122.380985 37.753228, -122.378560351096 37.7535517721854, -122.376716 37.752094, -122.376241 37.748523, -122.373364367386 37.7457632793685, -122.376847 37.740192, -122.37911 37.73768, -122.380887 37.738828, -122.381558 37.738123, -122.385282 37.74024, -122.387143 37.741297, -122.387705 37.742697, -122.389425 37.738803, -122.391268 37.739853, -122.394093 37.736729, -122.395945 37.737784, -122.399685 37.739902, -122.406853 37.73805, -122.406952 37.740495))"
612,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.395945 37.737784, -122.394093 37.736729, -122.391268 37.739853, -122.389425 37.738803, -122.387705 37.742697, -122.387143 37.741297, -122.385282 37.74024, -122.388529 37.736475, -122.38717 37.735698, -122.387399 37.734738, -122.389035 37.732919, -122.39106 37.734066, -122.391617 37.732487, -122.393904 37.733788, -122.392776 37.735038, -122.396515 37.737156, -122.395945 37.737784))"
231.02,494062,430059,479320,595757,678252,796473,852562,911102,969143,96.15817448012598,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
