,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
114,"Census Tract 257.02, San Francisco County, California",65875,80568,-,-,68906,-,48542,-,49125,-,5993,67865,82045,57500,2018,257.02,"POLYGON ((-122.410519 37.728488, -122.40756 37.729261, -122.408509 37.731552, -122.405608 37.732439, -122.406295 37.735307, -122.40506 37.733652, -122.404657 37.732949, -122.402752 37.729357, -122.402105 37.72779, -122.401183 37.724588, -122.400785 37.723616, -122.402061 37.72392, -122.4026 37.725235, -122.405572 37.724461, -122.408529 37.723688, -122.410519 37.728488))"
115,"Census Tract 258, San Francisco County, California",91250,97619,-,-,90179,-,73594,103750,73906,98333,-,137500,85556,-,2018,258.0,"POLYGON ((-122.405572 37.724461, -122.4026 37.725235, -122.402061 37.72392, -122.400785 37.723616, -122.398863 37.718683, -122.399615 37.716278, -122.400435 37.719162, -122.402103 37.718721, -122.403078 37.72113, -122.404059 37.720864, -122.405572 37.724461))"
116,"Census Tract 259, San Francisco County, California",113384,118098,42500,-,118162,-,-,-,128036,117772,-,154808,122885,61541,2018,259.0,"POLYGON ((-122.418888 37.72496599999999, -122.418404 37.726425, -122.41446 37.727457, -122.410519 37.728488, -122.408529 37.723688, -122.405572 37.724461, -122.404059 37.720864, -122.403078 37.72113, -122.402103 37.718721, -122.403071 37.71846499999999, -122.4061 37.719837, -122.406665 37.719215, -122.407036 37.720085, -122.41099 37.719074, -122.412468 37.722658, -122.412969 37.723858, -122.416632 37.722157, -122.419875 37.72471, -122.418888 37.72496599999999))"
117,"Census Tract 260.01, San Francisco County, California",74883,90833,-,-,74457,-,67554,-,71116,89821,-,94957,77120,49946,2018,260.01,"POLYGON ((-122.435385 37.723909, -122.434798 37.724683, -122.433982 37.725762, -122.432447 37.727637, -122.426912 37.725151, -122.428074 37.723591, -122.428837 37.723955, -122.430026 37.722398, -122.431205 37.720856, -122.432385 37.71929799999999, -122.433985 37.720063, -122.43715 37.721575, -122.435385 37.723909))"
118,"Census Tract 260.02, San Francisco County, California",100000,101429,61607,-,96607,-,87898,175521,88182,106538,-,95385,115156,65729,2018,260.02,"POLYGON ((-122.431801 37.728249, -122.431294 37.72873, -122.43039 37.728547, -122.424199 37.728736, -122.423336 37.727792, -122.421847 37.724199, -122.423807 37.723691, -122.424771 37.722172, -122.428074 37.723591, -122.426912 37.725151, -122.432447 37.727637, -122.431801 37.728249))"
119,"Census Tract 260.03, San Francisco County, California",81071,87054,-,-,65231,-,91985,73466,84659,114750,-,85268,100750,54879,2018,260.03,"POLYGON ((-122.432385 37.71929799999999, -122.431205 37.720856, -122.430026 37.722398, -122.428837 37.723955, -122.428074 37.723591, -122.424771 37.722172, -122.42583 37.719302, -122.42639 37.718561, -122.427189 37.715748, -122.431154 37.716594, -122.433555 37.717744, -122.432385 37.71929799999999))"
120,"Census Tract 260.04, San Francisco County, California",95655,158426,-,-,89050,-,-,231250,84318,135375,-,96081,114539,53789,2018,260.04,"POLYGON ((-122.440141 37.717692, -122.437502 37.721176, -122.43715 37.721575, -122.433985 37.720063, -122.432385 37.71929799999999, -122.433555 37.717744, -122.431154 37.716594, -122.432777 37.714437, -122.437046 37.716008, -122.440418 37.717245, -122.440141 37.717692))"
121,"Census Tract 261, San Francisco County, California",89917,77269,-,-,101375,-,55388,88833,68952,73854,53947,120000,99909,66842,2018,261.0,"POLYGON ((-122.448582 37.718411, -122.447878 37.723005, -122.44473 37.722987, -122.444486 37.722974, -122.438787 37.723637, -122.43702 37.723723, -122.435385 37.723909, -122.43715 37.721575, -122.437502 37.721176, -122.440141 37.717692, -122.440418 37.717245, -122.440999 37.716488, -122.441896 37.715308, -122.443706 37.713592, -122.446945 37.716187, -122.44796 37.717, -122.448727 37.71745, -122.448582 37.718411))"
122,"Census Tract 262, San Francisco County, California",77928,80625,-,-,79583,-,67238,233854,66226,110076,-,91607,72051,72500,2018,262.0,"POLYGON ((-122.465994 37.710154, -122.460858 37.710586, -122.457312 37.710648, -122.456376 37.710825, -122.455619 37.711066, -122.455028 37.711317, -122.452884 37.712829, -122.449627 37.715739, -122.448727 37.71745, -122.44796 37.717, -122.446945 37.716187, -122.443706 37.713592, -122.444571 37.712783, -122.446091 37.711592, -122.449309 37.709946, -122.452665 37.708806, -122.453983 37.708232, -122.458509 37.708231, -122.45905 37.708231, -122.468939 37.708232, -122.465994 37.710154))"
123,"Census Tract 263.01, San Francisco County, California",70345,61250,-,-,74702,-,-,-,56979,62969,-,93125,71142,46806,2018,263.01,"POLYGON ((-122.444571 37.712783, -122.443706 37.713592, -122.441896 37.715308, -122.440999 37.716488, -122.440418 37.717245, -122.437046 37.716008, -122.432777 37.714437, -122.433682 37.713181, -122.436144 37.714254, -122.436203 37.714171, -122.436642 37.71355, -122.437811 37.71192, -122.443335 37.710555, -122.444097 37.711689, -122.444571 37.712783))"
124,"Census Tract 263.02, San Francisco County, California",84457,87450,115682,-,86434,-,70625,78563,71417,105357,-,117045,82679,68929,2018,263.02,"POLYGON ((-122.437811 37.71192, -122.436642 37.71355, -122.436203 37.714171, -122.436144 37.714254, -122.433682 37.713181, -122.432777 37.714437, -122.431154 37.716594, -122.427189 37.715748, -122.425548 37.714517, -122.426737 37.711225, -122.424478 37.71011, -122.423377 37.709203, -122.42389 37.708236, -122.428082 37.708431, -122.430027 37.708281, -122.431341 37.708231, -122.433382 37.708232, -122.433982 37.708132, -122.435382 37.708132, -122.436771 37.710156, -122.436993 37.710746, -122.43837 37.711133, -122.437811 37.71192))"
125,"Census Tract 263.03, San Francisco County, California",92992,92917,-,-,95956,-,91875,-,93036,86771,-,77750,102795,59571,2018,263.03,"POLYGON ((-122.452665 37.708806, -122.449309 37.709946, -122.446091 37.711592, -122.444571 37.712783, -122.444097 37.711689, -122.443335 37.710555, -122.437811 37.71192, -122.43837 37.711133, -122.436993 37.710746, -122.436771 37.710156, -122.435382 37.708132, -122.440781 37.708304, -122.442079 37.708231, -122.444482 37.708332, -122.445875 37.708233, -122.449751 37.708213, -122.4523 37.708138, -122.45247 37.708148, -122.453983 37.708232, -122.452665 37.708806))"
126,"Census Tract 264.01, San Francisco County, California",75156,62778,41250,-,80592,-,75594,-,75577,-,-,77094,81125,32188,2018,264.01,"POLYGON ((-122.415635 37.712733, -122.415291 37.713504, -122.415396 37.715474, -122.411316 37.714367, -122.410433 37.716414, -122.406189 37.715244, -122.407927 37.711448, -122.410641 37.71220599999999, -122.411349 37.710605, -122.412887 37.711036, -122.416 37.711915, -122.415635 37.712733))"
127,"Census Tract 264.02, San Francisco County, California",82010,106625,41283,-,79167,-,129083,147778,128333,102462,-,102235,82157,62578,2018,264.02,"POLYGON ((-122.40895 37.716458, -122.408255 37.71809, -122.407272 37.71782, -122.406665 37.719215, -122.4061 37.719837, -122.403071 37.71846499999999, -122.402103 37.718721, -122.400435 37.719162, -122.399615 37.716278, -122.398863 37.718683, -122.398515 37.717664, -122.398328 37.716259, -122.400626 37.712984, -122.402546 37.712266, -122.402154 37.712656, -122.402188 37.714731, -122.403617 37.714327, -122.406189 37.715244, -122.410433 37.716414, -122.40895 37.716458))"
128,"Census Tract 264.03, San Francisco County, California",75455,66107,49313,-,91307,-,-,-,88684,48661,-,73558,92813,48938,2018,264.03,"POLYGON ((-122.411349 37.710605, -122.410641 37.71220599999999, -122.407927 37.711448, -122.406189 37.715244, -122.403617 37.714327, -122.402188 37.714731, -122.402154 37.712656, -122.402546 37.712266, -122.403109 37.711998, -122.404348 37.710443, -122.404821 37.709747, -122.405582 37.708231, -122.406481 37.708323, -122.41238 37.708303, -122.411349 37.710605))"
129,"Census Tract 264.04, San Francisco County, California",54805,65250,19881,-,72500,-,-,-,44038,81141,-,54219,58173,-,2018,264.04,"POLYGON ((-122.420083 37.70831099999999, -122.419348 37.709947, -122.416648 37.710473, -122.416 37.711915, -122.412887 37.711036, -122.411349 37.710605, -122.41238 37.708303, -122.415182 37.708231, -122.416222 37.708328, -122.420082 37.708231, -122.420083 37.70831099999999))"
130,"Census Tract 301.01, San Francisco County, California",122264,125712,-,-,101000,-,107400,-,107425,125208,-,136042,121203,58750,2018,301.01,"POLYGON ((-122.464297 37.765963, -122.46109 37.766132, -122.458405 37.76616, -122.45779 37.766015, -122.456913 37.765874, -122.452947 37.766374, -122.452758 37.765443, -122.452569 37.764509, -122.455466 37.764161, -122.457536 37.763566, -122.460843 37.762628, -122.462972 37.762316, -122.463226 37.758562, -122.463782 37.758538, -122.463912 37.760405, -122.464042 37.762269, -122.464172 37.764131, -122.464297 37.765963))"
131,"Census Tract 301.02, San Francisco County, California",147549,160429,-,-,139183,-,-,-,185179,160214,-,154531,188545,84808,2018,301.02,"POLYGON ((-122.463782 37.758538, -122.463226 37.758562, -122.462972 37.762316, -122.460843 37.762628, -122.457536 37.763566, -122.455466 37.764161, -122.452569 37.764509, -122.4524 37.763669, -122.451958 37.761478, -122.44912 37.761648, -122.446783 37.761781, -122.446394 37.760907, -122.446395 37.758856, -122.447915 37.757589, -122.448535 37.759045, -122.451367 37.758576, -122.453872 37.757378, -122.454078 37.757027, -122.454172 37.756507, -122.455537 37.753774, -122.456091 37.751804, -122.46147 37.751522, -122.462108 37.75197199999999, -122.463361 37.753039, -122.46377 37.754142, -122.463658 37.756764, -122.463782 37.758538))"
132,"Census Tract 302.01, San Francisco County, California",111000,113646,-,-,101360,-,-,71270,115769,113151,71391,128889,101518,64231,2018,302.01,"POLYGON ((-122.477261 37.765486, -122.47073 37.76577899999999, -122.470595 37.763849, -122.470468 37.762027, -122.470335 37.760124, -122.476762 37.759837, -122.476974 37.761701, -122.477116 37.763562, -122.477261 37.765486))"
133,"Census Tract 302.02, San Francisco County, California",123139,122750,-,-,140718,-,-,-,115893,123472,-,155938,97009,65139,2018,302.02,"POLYGON ((-122.47073 37.76577899999999, -122.464297 37.765963, -122.464172 37.764131, -122.464042 37.762269, -122.463912 37.760405, -122.469263 37.760171, -122.470335 37.760124, -122.470468 37.762027, -122.470595 37.763849, -122.47073 37.76577899999999))"
134,"Census Tract 303.01, San Francisco County, California",141125,151440,-,-,125795,-,-,157850,43684,152065,96944,182596,235230,44684,2018,303.01,"POLYGON ((-122.476762 37.759837, -122.470335 37.760124, -122.469263 37.760171, -122.463912 37.760405, -122.463782 37.758538, -122.463658 37.756764, -122.46377 37.754142, -122.463361 37.753039, -122.463433 37.753028, -122.464462 37.752899, -122.4666 37.752803, -122.468335 37.753244, -122.469782 37.752675, -122.47068 37.752376, -122.470908 37.752616, -122.47121 37.755194, -122.473683 37.756237, -122.4766 37.756108, -122.476699 37.757968, -122.47687 37.759832, -122.476762 37.759837))"
135,"Census Tract 303.02, San Francisco County, California",138125,144722,-,-,138914,-,-,-,-,148250,-,150694,177619,97917,2018,303.02,"POLYGON ((-122.4766 37.756108, -122.473683 37.756237, -122.47121 37.755194, -122.470908 37.752616, -122.47068 37.752376, -122.469782 37.752675, -122.468335 37.753244, -122.4666 37.752803, -122.464462 37.752899, -122.463442 37.751195, -122.464186 37.750717, -122.465403 37.750986, -122.466469 37.750939, -122.466336 37.749075, -122.469549 37.748903, -122.470595 37.748869, -122.476131 37.748643, -122.476221 37.750509, -122.476355 37.752376, -122.4766 37.756108))"
136,"Census Tract 304, San Francisco County, California",160733,176500,-,-,134219,-,211172,221250,166932,180329,-,202292,191379,88684,2018,304.0,"POLYGON ((-122.476131 37.748643, -122.470595 37.748869, -122.469549 37.748903, -122.466336 37.749075, -122.466469 37.750939, -122.465403 37.750986, -122.464186 37.750717, -122.463442 37.751195, -122.464462 37.752899, -122.463433 37.753028, -122.463361 37.753039, -122.462108 37.75197199999999, -122.46147 37.751522, -122.458635 37.747769, -122.459174 37.747286, -122.461381 37.745569, -122.463686 37.743749, -122.465807 37.743574, -122.466043 37.743555, -122.470235 37.743289, -122.475726 37.743049, -122.475854 37.744915, -122.476007 37.746778, -122.476131 37.748643))"
137,"Census Tract 305, San Francisco County, California",143558,166065,26678,-,143269,-,-,-,-,171071,-,191094,148098,33798,2018,305.0,"POLYGON ((-122.46147 37.751522, -122.456091 37.751804, -122.455537 37.753774, -122.454172 37.756507, -122.454078 37.757027, -122.453872 37.757378, -122.451367 37.758576, -122.448535 37.759045, -122.447915 37.757589, -122.44695 37.75655, -122.445348 37.755619, -122.447943 37.755532, -122.446734 37.753573, -122.44709 37.751505, -122.449423 37.750412, -122.445697 37.748855, -122.447794 37.749408, -122.449447 37.74666, -122.45084 37.745904, -122.451692 37.745629, -122.453897 37.745742, -122.454275 37.745908, -122.454637 37.746142, -122.458743 37.746876, -122.459174 37.747286, -122.458635 37.747769, -122.46147 37.751522))"
138,"Census Tract 306, San Francisco County, California",172500,177708,229375,-,158750,-,-,-,-,178958,-,"250,000+",171667,113409,2018,306.0,"POLYGON ((-122.461381 37.745569, -122.459174 37.747286, -122.458743 37.746876, -122.454637 37.746142, -122.454275 37.745908, -122.453897 37.745742, -122.451692 37.745629, -122.449861 37.743265, -122.452306 37.742819, -122.453773 37.743219, -122.454238 37.742835, -122.45464 37.742326, -122.454932 37.741777, -122.458082 37.739099, -122.458849 37.739158, -122.459184 37.739871, -122.459386 37.740571, -122.45984 37.74106099999999, -122.461234 37.742584, -122.463686 37.743749, -122.461381 37.745569))"
139,"Census Tract 307, San Francisco County, California",146618,145662,-,-,161894,-,-,136453,36835,164199,-,247426,172167,66746,2018,307.0,"POLYGON ((-122.459592 37.738533, -122.458849 37.739158, -122.458082 37.739099, -122.454932 37.741777, -122.45464 37.742326, -122.454238 37.742835, -122.453773 37.743219, -122.452306 37.742819, -122.449861 37.743265, -122.446658 37.742442, -122.445987 37.74118, -122.442525 37.739448, -122.442489 37.737289, -122.443649 37.736519, -122.443829 37.736134, -122.439915 37.734901, -122.438392 37.73442, -122.438816 37.733087, -122.439752 37.733111, -122.448873 37.733069, -122.453425 37.73304, -122.456156 37.734212, -122.459505 37.734291, -122.460282 37.737855, -122.459592 37.738533))"
140,"Census Tract 308, San Francisco County, California",152351,162411,-,-,117875,-,-,-,164797,151231,-,144762,185469,102727,2018,308.0,"POLYGON ((-122.475726 37.743049, -122.470235 37.743289, -122.466043 37.743555, -122.465807 37.743574, -122.463686 37.743749, -122.461234 37.742584, -122.45984 37.74106099999999, -122.459386 37.740571, -122.459184 37.739871, -122.458849 37.739158, -122.459592 37.738533, -122.460282 37.737855, -122.459505 37.734291, -122.461242 37.735782, -122.463136 37.737023, -122.462913 37.736013, -122.466248 37.734937, -122.471569 37.734707, -122.475173 37.734562, -122.475189 37.734762, -122.47539 37.73745, -122.475485 37.739321, -122.475621 37.741183, -122.475726 37.743049))"
141,"Census Tract 309, San Francisco County, California",171595,172155,-,-,149704,-,-,-,-,185682,-,235143,229250,130792,2018,309.0,"POLYGON ((-122.475347 37.720914, -122.474745 37.72693599999999, -122.474634 37.728992, -122.474972 37.731072, -122.475173 37.734562, -122.471569 37.734707, -122.466248 37.734937, -122.462913 37.736013, -122.463136 37.737023, -122.461242 37.735782, -122.459505 37.734291, -122.459064 37.733645, -122.461748 37.730064, -122.461727 37.729993, -122.460816 37.728681, -122.462888 37.728056, -122.462786 37.725549, -122.462199 37.725293, -122.462265 37.721748, -122.466278 37.721668, -122.46974 37.721644, -122.471983 37.721661, -122.47244 37.721603, -122.472547 37.71964, -122.472672 37.717248, -122.474528 37.719065, -122.475368 37.72037, -122.475347 37.720914))"
142,"Census Tract 310, San Francisco County, California",153456,157857,-,-,160563,-,-,-,-,168006,-,185644,194167,74261,2018,310.0,"POLYGON ((-122.462888 37.728056, -122.460816 37.728681, -122.461727 37.729993, -122.461748 37.730064, -122.459064 37.733645, -122.459505 37.734291, -122.456156 37.734212, -122.453425 37.73304, -122.453411 37.731568, -122.453394 37.729837, -122.454002 37.729166, -122.452382 37.727868, -122.452335 37.72318, -122.453105 37.723206, -122.458191 37.72434399999999, -122.459213 37.724563, -122.461202 37.724974, -122.462199 37.725293, -122.462786 37.725549, -122.462888 37.728056))"
143,"Census Tract 311, San Francisco County, California",127011,125272,93661,-,121500,-,138125,213750,90486,136250,"250,000+",155069,121731,89375,2018,311.0,"POLYGON ((-122.453394 37.729837, -122.453411 37.731568, -122.453425 37.73304, -122.448873 37.733069, -122.439752 37.733111, -122.438816 37.733087, -122.438392 37.73442, -122.435825 37.733924, -122.433104 37.733419, -122.432422 37.733176, -122.435892 37.731577, -122.439558 37.730191, -122.439483 37.730112, -122.443075 37.728634, -122.443664 37.728304, -122.446308 37.725978, -122.447878 37.723005, -122.449546 37.723011, -122.451596 37.723033, -122.452335 37.72318, -122.452382 37.727868, -122.454002 37.729166, -122.453394 37.729837))"
144,"Census Tract 312.01, San Francisco County, California",83381,101538,62955,-,85336,-,49922,-,66111,113419,49000,82219,101346,47188,2018,312.01,"POLYGON ((-122.462265 37.721748, -122.462199 37.725293, -122.461202 37.724974, -122.459213 37.724563, -122.458191 37.72434399999999, -122.453105 37.723206, -122.452335 37.72318, -122.451596 37.723033, -122.449546 37.723011, -122.451646 37.719686, -122.452506 37.72003, -122.459198 37.720024, -122.459187 37.71823, -122.462245 37.71822, -122.462265 37.721748))"
145,"Census Tract 312.02, San Francisco County, California",79712,134435,106012,-,77083,-,41205,-,-,133226,-,74500,84830,71023,2018,312.02,"POLYGON ((-122.459198 37.720024, -122.452506 37.72003, -122.451646 37.719686, -122.449546 37.723011, -122.447878 37.723005, -122.448582 37.718411, -122.450378 37.716169, -122.451895 37.716978, -122.453378 37.717768, -122.454189 37.718239, -122.456108 37.718235, -122.459187 37.71823, -122.459198 37.720024))"
146,"Census Tract 313.01, San Francisco County, California",101116,141912,-,-,90474,-,-,170294,153333,140368,-,116974,92250,84712,2018,313.01,"POLYGON ((-122.472547 37.71964, -122.47244 37.721603, -122.471983 37.721661, -122.46974 37.721644, -122.466278 37.721668, -122.462265 37.721748, -122.462245 37.71822, -122.46264 37.717936, -122.466235 37.717912, -122.468036 37.7179, -122.468017 37.716103, -122.471572 37.716126, -122.472672 37.717248, -122.472547 37.71964))"
147,"Census Tract 313.02, San Francisco County, California",77260,95385,56176,-,81250,-,67611,-,69712,110139,83000,90045,86806,55642,2018,313.02,"POLYGON ((-122.471572 37.716126, -122.468017 37.716103, -122.468036 37.7179, -122.466235 37.717912, -122.46264 37.717936, -122.462615 37.715619, -122.462602 37.714308, -122.462569 37.71315, -122.462556 37.711254, -122.460858 37.710586, -122.465994 37.710154, -122.468939 37.708232, -122.469236 37.708232, -122.471319 37.708305, -122.471215 37.708939, -122.471355 37.712802, -122.471472 37.713427, -122.472672 37.717248, -122.471572 37.716126))"
148,"Census Tract 314, San Francisco County, California",73750,82083,29444,-,77054,-,84890,115556,81771,103646,66310,83226,82228,51838,2018,314.0,"POLYGON ((-122.46264 37.717936, -122.462245 37.71822, -122.459187 37.71823, -122.456108 37.718235, -122.454189 37.718239, -122.453378 37.717768, -122.451895 37.716978, -122.450378 37.716169, -122.448582 37.718411, -122.448727 37.71745, -122.449627 37.715739, -122.452884 37.712829, -122.455028 37.711317, -122.455619 37.711066, -122.456376 37.710825, -122.457312 37.710648, -122.460858 37.710586, -122.462556 37.711254, -122.462569 37.71315, -122.462602 37.714308, -122.462615 37.715619, -122.46264 37.717936))"
149,"Census Tract 326.01, San Francisco County, California",116128,115524,-,-,125179,-,-,-,-,116573,-,148080,109375,68462,2018,326.01,"POLYGON ((-122.484763 37.76516, -122.477261 37.765486, -122.477116 37.763562, -122.476974 37.761701, -122.476762 37.759837, -122.47687 37.759832, -122.484365 37.759501, -122.484496 37.76137, -122.484627 37.763231, -122.484763 37.76516))"
150,"Census Tract 326.02, San Francisco County, California",96932,101528,-,-,94853,-,-,164167,-,100556,-,105725,121563,56693,2018,326.02,"POLYGON ((-122.486906 37.765054, -122.484763 37.76516, -122.484627 37.763231, -122.484496 37.76137, -122.484365 37.759501, -122.47687 37.759832, -122.476699 37.757968, -122.4766 37.756108, -122.479817 37.755966, -122.484104 37.75577699999999, -122.486248 37.755683, -122.486382 37.757542, -122.486512 37.759407, -122.48664 37.761276, -122.48677 37.763137, -122.486906 37.765054))"
151,"Census Tract 327, San Francisco County, California",115457,121250,-,-,116304,-,-,-,135833,116767,-,152650,115915,78534,2018,327.0,"POLYGON ((-122.496085 37.764675, -122.493336 37.764774, -122.486906 37.765054, -122.48677 37.763137, -122.48664 37.761276, -122.486512 37.759407, -122.486382 37.757542, -122.486248 37.755683, -122.492675 37.755398, -122.495433 37.755273, -122.495555 37.757137, -122.495692 37.759001, -122.495822 37.760871, -122.49595 37.762732, -122.496085 37.764675))"
152,"Census Tract 328.01, San Francisco County, California",114290,114261,-,-,129042,-,-,-,82417,116250,-,122434,116667,68625,2018,328.01,"POLYGON ((-122.485727 37.74822, -122.479296 37.748504, -122.479426 37.750368, -122.476221 37.750509, -122.476131 37.748643, -122.476007 37.746778, -122.475854 37.744915, -122.475726 37.743049, -122.485335 37.742626, -122.485466 37.744493, -122.485597 37.746354, -122.485727 37.74822))"
153,"Census Tract 328.02, San Francisco County, California",103861,92212,-,-,134091,-,-,-,-,93750,-,151750,120104,54423,2018,328.02,"POLYGON ((-122.486248 37.755683, -122.484104 37.75577699999999, -122.479817 37.755966, -122.4766 37.756108, -122.476355 37.752376, -122.476221 37.750509, -122.479426 37.750368, -122.479296 37.748504, -122.485727 37.74822, -122.485857 37.750085, -122.485988 37.751951, -122.486118 37.753815, -122.486248 37.755683))"
154,"Census Tract 329.01, San Francisco County, California",112500,123438,-,-,121806,-,74301,-,73272,133750,-,191094,143015,63864,2018,329.01,"POLYGON ((-122.495046 37.749681, -122.485857 37.750085, -122.485727 37.74822, -122.485597 37.746354, -122.485466 37.744493, -122.485335 37.742626, -122.494504 37.742222, -122.494646 37.744089, -122.494774 37.745949, -122.494911 37.747814, -122.495046 37.749681))"
155,"Census Tract 329.02, San Francisco County, California",94545,98594,-,-,89432,-,-,-,-,98516,-,122054,111705,56667,2018,329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
156,"Census Tract 330, San Francisco County, California",100907,100221,-,-,127895,-,-,-,66010,101309,68477,152647,144096,80590,2018,330.0,"POLYGON ((-122.494504 37.742222, -122.485335 37.742626, -122.475726 37.743049, -122.475621 37.741183, -122.475485 37.739321, -122.47539 37.73745, -122.475189 37.734762, -122.479547 37.734619, -122.480254 37.73459, -122.485518 37.734356, -122.485855 37.734182, -122.491294 37.734096, -122.493784 37.733989, -122.494126 37.736631, -122.494253 37.738493, -122.494404 37.740352, -122.494504 37.742222))"
157,"Census Tract 331, San Francisco County, California",114783,101250,-,-,133500,-,-,-,153529,85278,-,156000,155139,85069,2018,331.0,"POLYGON ((-122.499059 37.731576, -122.496564 37.733856, -122.493784 37.733989, -122.491294 37.734096, -122.485855 37.734182, -122.485518 37.734356, -122.480254 37.73459, -122.479547 37.734619, -122.475189 37.734762, -122.475173 37.734562, -122.474972 37.731072, -122.480015 37.731148, -122.48193 37.731172, -122.485302 37.730946, -122.486179 37.730879, -122.486606 37.729555, -122.48889 37.730257, -122.492161 37.728836, -122.493529 37.729594, -122.497017 37.729303, -122.499059 37.731576))"
158,"Census Tract 332.01, San Francisco County, California",34706,34706,38438,-,36184,-,-,-,30333,34926,25521,57292,45000,21938,2018,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
159,"Census Tract 332.03, San Francisco County, California",47188,57939,77955,-,41136,-,45625,68125,52375,58345,42683,50125,59957,42656,2018,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
160,"Census Tract 332.04, San Francisco County, California",62701,63953,-,-,44028,-,37043,-,36768,64764,-,79444,74583,26711,2018,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
161,"Census Tract 351, San Francisco County, California",121156,131473,-,-,105424,-,-,140017,141764,130580,-,141558,116150,73986,2018,351.0,"POLYGON ((-122.502979 37.764344, -122.496085 37.764675, -122.49595 37.762732, -122.495822 37.760871, -122.495692 37.759001, -122.495555 37.757137, -122.495433 37.755273, -122.495307 37.75341, -122.495165 37.751543, -122.499914 37.751334, -122.499784 37.749472, -122.50193 37.749377, -122.50206 37.75124, -122.502191 37.753106, -122.502318 37.754953, -122.50245 37.756835, -122.502582 37.7587, -122.502713 37.760567, -122.502844 37.762427, -122.502979 37.764344))"
162,"Census Tract 352.01, San Francisco County, California",102652,112135,-,-,88750,-,-,-,126023,111719,-,121250,114000,70375,2018,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
163,"Census Tract 352.02, San Francisco County, California",82593,77837,45833,-,89345,-,86875,63182,85559,79554,-,101806,70799,55278,2018,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
164,"Census Tract 353, San Francisco County, California",93375,86267,-,-,94355,-,-,-,-,86615,-,117917,113813,46117,2018,353.0,"POLYGON ((-122.50193 37.749377, -122.499784 37.749472, -122.499914 37.751334, -122.495165 37.751543, -122.495046 37.749681, -122.494911 37.747814, -122.494774 37.745949, -122.494646 37.744089, -122.494504 37.742222, -122.494404 37.740352, -122.494253 37.738493, -122.494126 37.736631, -122.493784 37.733989, -122.496564 37.733856, -122.497487 37.733925, -122.499139 37.734404, -122.501041 37.7353, -122.501142 37.738192, -122.501404 37.74191, -122.501536 37.743785, -122.50193 37.749377))"
