,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year
167,"Census Tract 402, San Francisco County, California",105507,124963,-,-,85756,-,-,-,-,133021,60990,132708,158819,50375,2018
168,"Census Tract 426.01, San Francisco County, California",84805,101875,20799,-,62031,-,-,-,79500,106750,-,137941,86667,38750,2018
169,"Census Tract 426.02, San Francisco County, California",128375,146563,-,-,104250,-,-,53007,101413,152303,-,150568,165909,90795,2018
170,"Census Tract 427, San Francisco County, California",76118,85250,-,-,75000,-,-,-,-,97625,105208,138194,68250,56071,2018
171,"Census Tract 428, San Francisco County, California",164750,170125,-,-,162750,-,-,-,-,171000,-,191607,223125,141563,2018
172,"Census Tract 451, San Francisco County, California",116429,172566,-,-,93500,-,-,-,85700,178382,34432,148393,126711,58125,2018
173,"Census Tract 452, San Francisco County, California",98864,123894,-,-,70688,-,-,-,106071,132875,-,114070,115063,60921,2018
174,"Census Tract 476, San Francisco County, California",103676,110761,-,-,78958,-,-,-,-,111141,126250,136786,104722,68527,2018
175,"Census Tract 477.01, San Francisco County, California",86848,93472,-,-,73920,-,-,113661,92656,94079,-,113368,73250,37083,2018
176,"Census Tract 477.02, San Francisco County, California",98958,109028,-,-,75469,-,-,-,119625,102143,-,130658,113472,51736,2018
